0	0.000000
4	0.000000
8	0.000000
12	0.000000
16	0.000000
20	0.033728
24	0.033728
28	0.033728
32	0.033728
36	0.033728
40	0.021775
44	0.021775
48	0.021775
52	0.021775
56	0.021775
60	0.033728
64	0.033728
68	0.033728
72	0.033728
76	0.033728
80	0.021775
84	0.021775
88	0.021775
92	0.021775
96	0.021775
100	0.033491
104	0.033491
108	0.033491
112	0.033491
116	0.033491
120	0.021775
124	0.021775
128	0.021775
132	0.021775
136	0.021775
140	0.033728
144	0.033728
148	0.033728
152	0.033728
156	0.033728
160	0.000000
164	0.000000
168	0.000000
172	0.000000
176	0.000000
180	0
