0	0.000000
8	0.000000
16	0.000000
24	0.000000
32	0.000000
40	0.033728
48	0.033728
56	0.033728
64	0.033728
72	0.033728
80	0.021775
88	0.021775
96	0.021775
104	0.021775
112	0.021775
120	0.033728
128	0.033728
136	0.033728
144	0.033728
152	0.033728
160	0.021775
168	0.021775
176	0.021775
184	0.021775
192	0.021775
200	0.033491
208	0.033491
216	0.033491
224	0.033491
232	0.033491
240	0.021775
248	0.021775
256	0.021775
264	0.021775
272	0.021775
280	0.033728
288	0.033728
296	0.033728
304	0.033728
312	0.033728
320	0.000000
328	0.000000
336	0.000000
344	0.000000
352	0.000000
360	0
