0	0.000000
1	0.021200
2	0.055233
3	0.122701
4	0.264443
5	0.494088
6	0.618268
7	0.700788
8	0.736090
9	0.721793
10	0.657432
11	0.646389
12	0.689174
13	0.789351
14	0.955260
15	1.195383
16	1.349622
17	1.412918
18	1.381008
19	1.256041
20	1.041673
21	0.909285
22	0.852616
23	0.866947
24	0.953471
25	1.115784
26	1.204409
27	1.217385
28	1.153897
29	1.017932
30	0.813487
31	0.672238
32	0.586966
33	0.550570
34	0.560020
35	0.614882
36	0.627087
37	0.597031
38	0.526738
39	0.420947
40	0.225297
41	0.104537
42	0.047057
43	0.018062
44	0.000000
