0	0.000289
4	0.000824
8	0.001858
12	0.004018
16	0.008609
20	0.016068
24	0.020099
28	0.022777
32	0.023920
36	0.023452
40	0.021357
44	0.020994
48	0.022379
52	0.025628
56	0.031012
60	0.038805
64	0.043810
68	0.045864
72	0.044827
76	0.040770
80	0.033811
84	0.029514
88	0.027675
92	0.028140
96	0.030948
100	0.036217
104	0.039094
108	0.039516
112	0.037456
116	0.033044
120	0.026409
124	0.021825
128	0.019060
132	0.017881
136	0.018192
140	0.019978
144	0.020377
148	0.019404
152	0.017123
156	0.013689
160	0.007334
164	0.003423
168	0.001583
172	0.000702
176	0.000246
180	0.000000
