0	0.000028
8	0.000140
16	0.000589
24	0.002464
32	0.010304
40	0.035254
48	0.047154
56	0.052089
64	0.049329
72	0.039281
80	0.023071
88	0.016082
96	0.015773
104	0.022014
112	0.037397
120	0.067640
128	0.087219
136	0.093914
144	0.086735
152	0.066743
160	0.036213
168	0.020045
176	0.012202
184	0.009426
192	0.010566
200	0.015973
208	0.019179
216	0.019887
224	0.018004
232	0.013776
240	0.007617
248	0.004484
256	0.003213
264	0.003276
272	0.004701
280	0.008004
288	0.010051
296	0.010614
304	0.009608
312	0.007184
320	0.002100
328	0.000502
336	0.000120
344	0.000028
352	0.000006
360	0.000000
